what is my device? it is ... cpu
where is my model? on ... cpu
where are my tensors?
-xtrain_tensor is on ... cpu
-ytrain_tensor is on ... cpu
Start Epoch
epoch & inputs_counter 0 1000
epoch & inputs_counter 0 2000
epoch & inputs_counter 0 3000
epoch & inputs_counter 0 4000
epoch & inputs_counter 0 5000
epoch & inputs_counter 0 6000
epoch & inputs_counter 0 7000
epoch & inputs_counter 0 8000
epoch & inputs_counter 0 9000
epoch & inputs_counter 0 10000
epoch & inputs_counter 0 11000
epoch & inputs_counter 0 12000
epoch & inputs_counter 0 13000
epoch & inputs_counter 0 14000
epoch & inputs_counter 0 15000
epoch & inputs_counter 0 16000
epoch & inputs_counter 0 17000
epoch & inputs_counter 0 18000
epoch & inputs_counter 0 19000
epoch & inputs_counter 0 20000
epoch & inputs_counter 0 21000
epoch & inputs_counter 0 22000
epoch & inputs_counter 0 23000
epoch & inputs_counter 0 24000
epoch & inputs_counter 0 25000
epoch & inputs_counter 0 26000
epoch & inputs_counter 0 27000
epoch & inputs_counter 0 28000
epoch & inputs_counter 0 29000
epoch & inputs_counter 0 30000
epoch & inputs_counter 0 31000
epoch & inputs_counter 0 32000
epoch & inputs_counter 0 33000
epoch & inputs_counter 0 34000
epoch & inputs_counter 0 35000
epoch & inputs_counter 0 36000
epoch & inputs_counter 0 37000
epoch & inputs_counter 0 38000
epoch & inputs_counter 0 39000
epoch & inputs_counter 0 40000
epoch & inputs_counter 0 41000
epoch & inputs_counter 0 42000
epoch & inputs_counter 0 43000
epoch & inputs_counter 0 44000
epoch & inputs_counter 0 45000
epoch & inputs_counter 0 46000
epoch & inputs_counter 0 47000
epoch & inputs_counter 0 48000
epoch & inputs_counter 0 49000
Start Epoch
epoch & inputs_counter 1 50000
epoch & inputs_counter 1 51000
epoch & inputs_counter 1 52000
epoch & inputs_counter 1 53000
epoch & inputs_counter 1 54000
epoch & inputs_counter 1 55000
epoch & inputs_counter 1 56000
epoch & inputs_counter 1 57000
epoch & inputs_counter 1 58000
epoch & inputs_counter 1 59000
epoch & inputs_counter 1 60000
epoch & inputs_counter 1 61000
epoch & inputs_counter 1 62000
epoch & inputs_counter 1 63000
epoch & inputs_counter 1 64000
epoch & inputs_counter 1 65000
epoch & inputs_counter 1 66000
epoch & inputs_counter 1 67000
epoch & inputs_counter 1 68000
epoch & inputs_counter 1 69000
epoch & inputs_counter 1 70000
epoch & inputs_counter 1 71000
epoch & inputs_counter 1 72000
epoch & inputs_counter 1 73000
epoch & inputs_counter 1 74000
epoch & inputs_counter 1 75000
epoch & inputs_counter 1 76000
epoch & inputs_counter 1 77000
epoch & inputs_counter 1 78000
epoch & inputs_counter 1 79000
epoch & inputs_counter 1 80000
epoch & inputs_counter 1 81000
epoch & inputs_counter 1 82000
epoch & inputs_counter 1 83000
epoch & inputs_counter 1 84000
epoch & inputs_counter 1 85000
epoch & inputs_counter 1 86000
epoch & inputs_counter 1 87000
epoch & inputs_counter 1 88000
epoch & inputs_counter 1 89000
epoch & inputs_counter 1 90000
epoch & inputs_counter 1 91000
epoch & inputs_counter 1 92000
epoch & inputs_counter 1 93000
epoch & inputs_counter 1 94000
epoch & inputs_counter 1 95000
epoch & inputs_counter 1 96000
epoch & inputs_counter 1 97000
epoch & inputs_counter 1 98000
epoch & inputs_counter 1 99000
done! elapsed time (minutes): 3.1
